id,media_type,slug,role,rank,size,url,alt_text,caption,credit
1001,image,lunar-plaque-apollo-11,o,,thumb,images/thumb/lunar-plaque-apollo-11_thumb.webp,Apollo 11 lunar landing plaque bolted to Eagle ladder,,https://commons.wikimedia.org/w/index.php?curid=517980
1001,image,lunar-plaque-apollo-11,,,medium,images/medium/lunar-plaque-apollo-11_medium.webp,Apollo 11 lunar landing plaque bolted to Eagle ladder,,https://commons.wikimedia.org/w/index.php?curid=517980
1001,image,lunar-plaque-apollo-11,h,,large,images/large/lunar-plaque-apollo-11_large.webp,Apollo 11 lunar landing plaque bolted to Eagle ladder,,https://commons.wikimedia.org/w/index.php?curid=517980
1003,image,lunar-plaque-apollo-13,o,,thumb,images/thumb/lunar-plaque-apollo-13_thumb.webp,Apollo 13 lunar plaque,"Replica of the replacement Apollo 13 plaque, with Swigert's signature instead of Mattingly's; James Lovell has the original",https://commons.wikimedia.org/w/index.php?curid=9971829
1003,image,lunar-plaque-apollo-13,,,medium,images/medium/lunar-plaque-apollo-13_medium.webp,Apollo 13 lunar plaque,"Replica of the replacement Apollo 13 plaque, with Swigert's signature instead of Mattingly's; James Lovell has the original",https://commons.wikimedia.org/w/index.php?curid=9971829
1003,image,lunar-plaque-apollo-13,h,,large,images/large/lunar-plaque-apollo-13_large.webp,Apollo 13 lunar plaque,"Replica of the replacement Apollo 13 plaque, with Swigert's signature instead of Mattingly's; James Lovell has the original",https://commons.wikimedia.org/w/index.php?curid=9971829
,image,lunar-plaque,,,thumb,images/thumb/lunar-plaque_thumb.webp,Apollo 16 lunar module on the Moon,The Apollo 16 lunar plaque is visible behind the ladder on the lunar module,https://commons.wikimedia.org/w/index.php?curid=6057549
,image,lunar-plaque,,,medium,images/medium/lunar-plaque_medium.webp,Apollo 16 lunar module on the Moon,The Apollo 16 lunar plaque is visible behind the ladder on the lunar module,https://commons.wikimedia.org/w/index.php?curid=6057549
,image,lunar-plaque,,,large,images/large/lunar-plaque_large.webp,Apollo 16 lunar module on the Moon,The Apollo 16 lunar plaque is visible behind the ladder on the lunar module,https://commons.wikimedia.org/w/index.php?curid=6057549
1007,image,lunar-plaque-apollo-17,o,,thumb,images/thumb/lunar-plaque-apollo-17_thumb.webp,Apollo 17 lunar plaque,,https://commons.wikimedia.org/w/index.php?curid=525469
1007,image,lunar-plaque-apollo-17,,,medium,images/medium/lunar-plaque-apollo-17_medium.webp,Apollo 17 lunar plaque,,https://commons.wikimedia.org/w/index.php?curid=525469
1007,image,lunar-plaque-apollo-17,h,,large,images/large/lunar-plaque-apollo-17_large.webp,Apollo 17 lunar plaque,,https://commons.wikimedia.org/w/index.php?curid=525469
1008,image,tesla,,,thumb,images/thumb/tesla_001_thumb.webp,Elon Musk's Tesla Roadster,"Elon Musk's Tesla Roadster parked outside SpaceX, 2010",https://commons.wikimedia.org/w/index.php?curid=66225103
1008,image,tesla,,,medium,images/medium/tesla_001_medium.webp,Elon Musk's Tesla Roadster,"Elon Musk's Tesla Roadster parked outside SpaceX, 2010",https://commons.wikimedia.org/w/index.php?curid=66225103
1008,image,tesla,,,large,images/large/tesla_001_large.webp,Elon Musk's Tesla Roadster,"Elon Musk's Tesla Roadster parked outside SpaceX, 2010",https://commons.wikimedia.org/w/index.php?curid=66225103
1008,image,tesla,o,,thumb,images/thumb/tesla_thumb.webp,Elon Musk's Tesla Roadster with Earth in background,,https://commons.wikimedia.org/w/index.php?curid=66235869
1008,image,tesla,,,medium,images/medium/tesla_medium.webp,Elon Musk's Tesla Roadster with Earth in background,,https://commons.wikimedia.org/w/index.php?curid=66235869
1008,image,tesla,h,,large,images/large/tesla_large.webp,Elon Musk's Tesla Roadster with Earth in background,,https://commons.wikimedia.org/w/index.php?curid=66235869
1010,image,moon-seeds-apollo,o,,thumb,images/thumb/moon-seeds-apollo_thumb.webp,Apollo Moon Tree growing  in Arkansas,"Apollo Moon Tree growing in front of Sebastian County Courthouse, in Fort Smith, Arkansas",https://commons.wikimedia.org/w/index.php?curid=50660732
1010,image,moon-seeds-apollo,,,medium,images/medium/moon-seeds-apollo_medium.webp,Apollo Moon Tree growing  in Arkansas,"Apollo Moon Tree growing in front of Sebastian County Courthouse, in Fort Smith, Arkansas",https://commons.wikimedia.org/w/index.php?curid=50660732
1010,image,moon-seeds-apollo,h,,large,images/large/moon-seeds-apollo_large.webp,Apollo Moon Tree growing  in Arkansas,"Apollo Moon Tree growing in front of Sebastian County Courthouse, in Fort Smith, Arkansas",https://commons.wikimedia.org/w/index.php?curid=50660732
1009,image,pennant,o,,thumb,images/thumb/pennant_thumb.webp,Model of the Soviet pennant sphere onboard Luna 2,,https://commons.wikimedia.org/w/index.php?curid=27308179
1009,image,pennant,,,medium,images/medium/pennant_medium.webp,Model of the Soviet pennant sphere onboard Luna 2,,https://commons.wikimedia.org/w/index.php?curid=27308179
1009,image,pennant,h,,large,images/large/pennant_large.webp,Model of the Soviet pennant sphere onboard Luna 2,,https://commons.wikimedia.org/w/index.php?curid=27308179
1011,image,moon-seeds-artemis,o,,thumb,images/thumb/moon-seeds-artemis_thumb.webp,Moon Seeds prepared for travel aboard Artemis I,,https://www.nasa.gov/learning-resources/nasa-usda-forest-service-fly-next-generation-of-moon-tree-seeds-on-artemis-i/
1011,image,moon-seeds-artemis,,,medium,images/medium/moon-seeds-artemis_medium.webp,Moon Seeds prepared for travel aboard Artemis I,,https://www.nasa.gov/learning-resources/nasa-usda-forest-service-fly-next-generation-of-moon-tree-seeds-on-artemis-i/
1011,image,moon-seeds-artemis,h,,large,images/large/moon-seeds-artemis_large.webp,Moon Seeds prepared for travel aboard Artemis I,,https://www.nasa.gov/learning-resources/nasa-usda-forest-service-fly-next-generation-of-moon-tree-seeds-on-artemis-i/
1009,image,pennant,,,thumb,images/thumb/pennant_001_thumb.webp,Khrushchev presents a replica of the Soviet pennant spheres to President Eisenhower ,,"https://www.terra.com.br/byte/ciencia/as-tres-vitorias-da-uniao-sovietica-na-corrida-a-lua-contra-os-eua,468b2039b0c49b8aebc089b52d9bf72fnprq34ke.html"
1009,image,pennant,,,medium,images/medium/pennant_001_medium.webp,Khrushchev presents a replica of the Soviet pennant spheres to President Eisenhower ,,"https://www.terra.com.br/byte/ciencia/as-tres-vitorias-da-uniao-sovietica-na-corrida-a-lua-contra-os-eua,468b2039b0c49b8aebc089b52d9bf72fnprq34ke.html"
